case,method,family,detector_radius_over_r,replicate,seed,diameter_um,n,contacts,connected,max_overlap_over_radius,rg_over_radius,anisotropy,mean_coordination
local_filling_r6_N0050_rep03,local_filling,local_filling_r6,6,3,17667900226732901593,1.0,50,49,True,1.7763568394002505e-15,12.34178047043526,0.8338135459523601,1.96
local_filling_r6_N0050_rep04,local_filling,local_filling_r6,6,4,14765922955812722911,1.0,50,49,True,8.881784197001252e-16,9.064828852127512,0.4774906109550062,1.96
local_filling_r6_N0050_rep05,local_filling,local_filling_r6,6,5,14374946164919043014,1.0,50,49,True,6.661338147750939e-16,8.51240274676274,0.261321620518712,1.96
local_filling_r6_N0100_rep01,local_filling,local_filling_r6,6,1,11098662585960383052,1.0,100,99,True,1.9984014443252818e-15,15.871464641742996,0.7251313819459577,1.98
local_filling_r6_N0100_rep02,local_filling,local_filling_r6,6,2,4445840922133760210,1.0,100,99,True,2.886579864025407e-15,18.521942829441347,0.761814284954349,1.98
local_filling_r6_N0100_rep03,local_filling,local_filling_r6,6,3,17833286665160543137,1.0,100,99,True,1.5543122344752192e-15,13.788294474492629,0.4292482088623488,1.98
local_filling_r6_N0100_rep04,local_filling,local_filling_r6,6,4,16268131549554630529,1.0,100,99,True,1.9984014443252818e-15,13.181053395470908,0.25416358405990325,1.98
local_filling_r6_N0100_rep05,local_filling,local_filling_r6,6,5,15558645396560750932,1.0,100,99,True,2.4424906541753444e-15,18.68622230229155,0.4520820450259082,1.98
local_filling_r6_N0200_rep01,local_filling,local_filling_r6,6,1,862062102117124810,1.0,200,199,True,2.6645352591003757e-15,20.108523012519385,0.19075211721030116,1.99
local_filling_r6_N0200_rep02,local_filling,local_filling_r6,6,2,6208846981602455543,1.0,200,199,True,2.886579864025407e-15,18.225727958420027,0.13146955935470384,1.99
local_filling_r6_N0200_rep03,local_filling,local_filling_r6,6,3,5616848187920550349,1.0,200,199,True,3.1086244689504383e-15,16.909404526068943,0.052604248420518585,1.99
local_filling_r6_N0200_rep04,local_filling,local_filling_r6,6,4,15513250154680910385,1.0,200,199,True,3.552713678800501e-15,26.743540317736574,0.47237862823951604,1.99
local_filling_r6_N0200_rep05,local_filling,local_filling_r6,6,5,13301453272969999451,1.0,200,199,True,4.884981308350689e-15,29.626335741898213,0.6588646187631539,1.99
local_filling_r12_N0050_rep01,local_filling,local_filling_r12,12,1,2927906600931488838,1.0,50,49,True,6.661338147750939e-16,5.884904171944137,0.46506585649268173,1.96
local_filling_r12_N0050_rep02,local_filling,local_filling_r12,12,2,10379405705390877154,1.0,50,49,True,8.881784197001252e-16,7.91439518552121,0.5956228611206316,1.96
local_filling_r12_N0050_rep03,local_filling,local_filling_r12,12,3,17718611955866300701,1.0,50,49,True,6.661338147750939e-16,5.079326603104572,0.2069347570264427,1.96
local_filling_r12_N0050_rep04,local_filling,local_filling_r12,12,4,12679041488493329785,1.0,50,49,True,4.440892098500626e-16,4.382569669858368,0.052395292125116844,1.96
local_filling_r12_N0050_rep05,local_filling,local_filling_r12,12,5,1890124187698306061,1.0,50,49,True,6.661338147750939e-16,4.6722669865598245,0.17055059662297345,1.96
local_filling_r12_N0100_rep01,local_filling,local_filling_r12,12,1,15671325440438585260,1.0,100,99,True,1.7763568394002505e-15,12.762510371376178,0.17737809149028172,1.98
local_filling_r12_N0100_rep02,local_filling,local_filling_r12,12,2,11483866988222930111,1.0,100,99,True,2.220446049250313e-15,17.743023820318122,0.8333324751502766,1.98
local_filling_r12_N0100_rep03,local_filling,local_filling_r12,12,3,12011803563321610036,1.0,100,99,True,2.4424906541753444e-15,18.902846134688602,0.5426033877112719,1.98
local_filling_r12_N0100_rep04,local_filling,local_filling_r12,12,4,11601750375660159571,1.0,100,99,True,1.7763568394002505e-15,12.076300416526582,0.7315448696620799,1.98
local_filling_r12_N0100_rep05,local_filling,local_filling_r12,12,5,289730655059196615,1.0,100,99,True,4.218847493575595e-15,14.737775650759195,0.7276133403912111,1.98
local_filling_r12_N0200_rep01,local_filling,local_filling_r12,12,1,3788517484419053009,1.0,200,199,True,5.995204332975845e-15,29.245165080752557,0.45078004307528075,1.99
local_filling_r12_N0200_rep02,local_filling,local_filling_r12,12,2,9653239308489443811,1.0,200,199,True,4.218847493575595e-15,23.942933073258185,0.34783365626565543,1.99
local_filling_r12_N0200_rep03,local_filling,local_filling_r12,12,3,3505709240476207527,1.0,200,199,True,3.9968028886505635e-15,27.86425584736245,0.3577151337648977,1.99
local_filling_r12_N0200_rep04,local_filling,local_filling_r12,12,4,5909402729793664271,1.0,200,199,True,6.217248937900877e-15,38.099971551372036,0.7491390111999123,1.99
local_filling_r12_N0200_rep05,local_filling,local_filling_r12,12,5,13015318015882994006,1.0,200,199,True,3.552713678800501e-15,21.631536838180157,0.060026930833860015,1.99
