case_id,case_name,particle_diameter,particle_radius,N_target,target_fractal_dimension,r_sigma_mult,realization,random_seed,max_try,csv_file,sys_file,vtk_file
35,case_035_dp1.5_N50_Df2.6_rep02,1.5,0.75,50,2.6,5.0,2,1063,200,case_035_dp1.5_N50_Df2.6_rep02/particles.csv,case_035_dp1.5_N50_Df2.6_rep02/particles.sys,case_035_dp1.5_N50_Df2.6_rep02/particles.vtk
36,case_036_dp1.5_N50_Df2.6_rep03,1.5,0.75,50,2.6,5.0,3,1064,200,case_036_dp1.5_N50_Df2.6_rep03/particles.csv,case_036_dp1.5_N50_Df2.6_rep03/particles.sys,case_036_dp1.5_N50_Df2.6_rep03/particles.vtk
37,case_037_dp1.5_N100_Df1.8_rep01,1.5,0.75,100,1.8,12.0,1,1065,200,case_037_dp1.5_N100_Df1.8_rep01/particles.csv,case_037_dp1.5_N100_Df1.8_rep01/particles.sys,case_037_dp1.5_N100_Df1.8_rep01/particles.vtk
38,case_038_dp1.5_N100_Df1.8_rep02,1.5,0.75,100,1.8,12.0,2,1066,200,case_038_dp1.5_N100_Df1.8_rep02/particles.csv,case_038_dp1.5_N100_Df1.8_rep02/particles.sys,case_038_dp1.5_N100_Df1.8_rep02/particles.vtk
39,case_039_dp1.5_N100_Df1.8_rep03,1.5,0.75,100,1.8,12.0,3,1067,200,case_039_dp1.5_N100_Df1.8_rep03/particles.csv,case_039_dp1.5_N100_Df1.8_rep03/particles.sys,case_039_dp1.5_N100_Df1.8_rep03/particles.vtk
40,case_040_dp1.5_N100_Df2.2_rep01,1.5,0.75,100,2.2,8.0,1,1068,200,case_040_dp1.5_N100_Df2.2_rep01/particles.csv,case_040_dp1.5_N100_Df2.2_rep01/particles.sys,case_040_dp1.5_N100_Df2.2_rep01/particles.vtk
41,case_041_dp1.5_N100_Df2.2_rep02,1.5,0.75,100,2.2,8.0,2,1069,200,case_041_dp1.5_N100_Df2.2_rep02/particles.csv,case_041_dp1.5_N100_Df2.2_rep02/particles.sys,case_041_dp1.5_N100_Df2.2_rep02/particles.vtk
42,case_042_dp1.5_N100_Df2.2_rep03,1.5,0.75,100,2.2,8.0,3,1070,200,case_042_dp1.5_N100_Df2.2_rep03/particles.csv,case_042_dp1.5_N100_Df2.2_rep03/particles.sys,case_042_dp1.5_N100_Df2.2_rep03/particles.vtk
43,case_043_dp1.5_N100_Df2.6_rep01,1.5,0.75,100,2.6,5.0,1,1071,200,case_043_dp1.5_N100_Df2.6_rep01/particles.csv,case_043_dp1.5_N100_Df2.6_rep01/particles.sys,case_043_dp1.5_N100_Df2.6_rep01/particles.vtk
44,case_044_dp1.5_N100_Df2.6_rep02,1.5,0.75,100,2.6,5.0,2,1072,200,case_044_dp1.5_N100_Df2.6_rep02/particles.csv,case_044_dp1.5_N100_Df2.6_rep02/particles.sys,case_044_dp1.5_N100_Df2.6_rep02/particles.vtk
45,case_045_dp1.5_N100_Df2.6_rep03,1.5,0.75,100,2.6,5.0,3,1073,200,case_045_dp1.5_N100_Df2.6_rep03/particles.csv,case_045_dp1.5_N100_Df2.6_rep03/particles.sys,case_045_dp1.5_N100_Df2.6_rep03/particles.vtk
46,case_046_dp1.5_N200_Df1.8_rep01,1.5,0.75,200,1.8,12.0,1,1074,200,case_046_dp1.5_N200_Df1.8_rep01/particles.csv,case_046_dp1.5_N200_Df1.8_rep01/particles.sys,case_046_dp1.5_N200_Df1.8_rep01/particles.vtk
