case,n,group,target,box_dimension,hull_porosity,box_quality,box_grid_sd,rg_over_d,log_rg,contacts,asphericity,lambda2_over_lambda1,lambda3_over_lambda1,leaf_fraction,branch_fraction,degree_std,mean_graph_distance,neighbors_1p5d,neighbors_2d,local_density_cv,core_shell_density_difference
fractal_dp2_N0050_Df2.2_kf1.1_rep03,50,fractal_dp2_N0050_Df2.2_kf1.1_rep03,0.63326171875,2.0189466357447263,0.8042357650435759,scale_span_below_half_decade;grid_SD_above_0.10;window_sensitivity_above_0.20,0.12584463172655255,2.8074952706605703,1.0322927230914005,49,0.2704201678661793,0.3512637508272978,0.14062157107783865,0.34,0.24,0.8708616422830896,8.584489795918367,3.52,8.28,0.36873545192775625,5.497142857142857
fractal_dp2_N0050_Df2.2_kf1.1_rep04,50,fractal_dp2_N0050_Df2.2_kf1.1_rep04,0.644833984375,2.0091565762645236,0.8199399943624305,scale_span_below_half_decade;window_sensitivity_above_0.20,0.08301520663609467,2.8075091164446833,1.0322976548004992,49,0.18665484903733076,0.38703469540660423,0.2356207033157156,0.38,0.3,0.893532316147547,8.955102040816326,3.56,7.72,0.365496209089086,4.54
fractal_dp2_N0050_Df2.2_kf1.1_rep05,50,fractal_dp2_N0050_Df2.2_kf1.1_rep05,0.644541015625,1.9723374394036417,0.8117125826809262,scale_span_below_half_decade,0.05895531710767534,2.807488680097658,1.032290375600127,49,0.16384159657891484,0.4610706091566457,0.22988953805881185,0.38,0.28,0.9156418513807678,8.625306122448979,3.72,7.56,0.3399856894479862,4.05
fractal_dp2_N0050_Df2.6_kf0.8_rep01,50,fractal_dp2_N0050_Df2.6_kf0.8_rep01,0.591240234375,2.0354236056086994,0.7478716149062961,scale_span_below_half_decade;grid_SD_above_0.10,0.10326171415971888,2.4222284775482272,0.8846879749295281,49,0.15367199774335727,0.3756568474594252,0.3087903485019661,0.4,0.32,0.9156418513807676,8.320816326530613,4.64,9.44,0.35525055794446075,7.302631578947368
fractal_dp2_N0050_Df2.6_kf0.8_rep02,50,fractal_dp2_N0050_Df2.6_kf0.8_rep02,0.601806640625,2.081789505834577,0.7635333692550252,scale_span_below_half_decade,0.08437424983171608,2.422207325883974,0.884679242575499,49,0.10150346953258216,0.45841309288875826,0.3789509788205466,0.4,0.28,0.9583318840568751,7.126530612244898,4.08,9.04,0.3907608278612454,9.458333333333332
fractal_dp2_N0050_Df2.6_kf0.8_rep03,50,fractal_dp2_N0050_Df2.6_kf0.8_rep03,0.597314453125,2.11494485871556,0.7543834806893508,scale_span_below_half_decade;grid_SD_above_0.10;window_sensitivity_above_0.20,0.12118975533258246,2.422217263955624,0.8846833454659314,49,0.1222369907961045,0.5126365578784059,0.28882575245343733,0.48,0.36,1.0384603988597734,7.391836734693878,4.36,8.76,0.3421307341539579,7.449999999999999
fractal_dp2_N0050_Df2.6_kf0.8_rep04,50,fractal_dp2_N0050_Df2.6_kf0.8_rep04,0.5945703125,2.0786650360511616,0.7601790940352512,scale_span_below_half_decade;window_sensitivity_above_0.20,0.060578616543996364,2.4222026731730426,0.8846773217178787,49,0.1274086715718561,0.444457936175611,0.3172903211137416,0.42,0.32,0.9583318840568751,7.606530612244898,4.36,9.44,0.3583954314201781,6.75
fractal_dp2_N0050_Df2.6_kf0.8_rep05,50,fractal_dp2_N0050_Df2.6_kf0.8_rep05,0.5932421875,2.0750168625673306,0.7511965379484055,scale_span_below_half_decade;grid_SD_above_0.10;window_sensitivity_above_0.20,0.12131566366126413,2.4222267148424868,0.8846872472085893,49,0.1106498335126892,0.580078676778575,0.28670102707138,0.44,0.3,1.0575443253121828,8.16734693877551,4.04,9.08,0.3273278940662541,4.904761904761905
fractal_dp2_N0100_Df1.8_kf1.3_rep01,100,fractal_dp2_N0100_Df1.8_kf1.3_rep01,0.6516845703125,1.807302017772204,0.9152892445785223,ok,0.07999652625206843,5.568438135935555,1.7171146081431805,99,0.4568250474826244,0.22341155206919952,0.06186343218309213,0.33,0.26,0.871550342780037,15.495757575757576,3.6,6.98,0.39494802318602207,2.0930232558139537
fractal_dp2_N0100_Df1.8_kf1.3_rep02,100,fractal_dp2_N0100_Df1.8_kf1.3_rep02,0.671083984375,1.827827256010979,0.9017628974709632,ok,0.08430710820985826,5.56839521433148,1.7171069000985821,99,0.47637621934718666,0.24827334144634436,0.029346598029018896,0.34,0.31,0.8243785538209978,14.394747474747474,3.56,6.68,0.31818333159900164,1.6752136752136755
