a,b,n,matching_distance,delta_exposure,abs_delta_exposure,both_box_quality_ok,delta_box_dimension,delta_hull_porosity,delta_log_rg,delta_asphericity,delta_lambda2_over_lambda1,delta_lambda3_over_lambda1,delta_leaf_fraction,delta_branch_fraction,delta_degree_std,delta_mean_graph_distance,delta_neighbors_1p5d,delta_neighbors_2d,delta_local_density_cv,delta_core_shell_density_difference
fractal_dp1.5_N0200_Df2.2_kf1.1_rep01,fractal_dp1.5_N0200_Df2.2_kf1.1_rep04,200,0.0810170205778298,0.00022949218750001332,0.00022949218750001332,True,-0.0014145322027094842,0.001378538784334471,-1.4675306780898012e-06,0.0346937744539465,-0.07590283257475738,0.00024296443083926533,-0.020000000000000018,-0.0050000000000000044,-0.05243693315242015,4.9323115577889425,0.009999999999999787,-0.030000000000001137,0.00884651970154815,-2.215849673202614
fractal_dp1.5_N0200_Df2.2_kf1.1_rep02,fractal_dp1_N0200_Df2.2_kf1.1_rep01,200,0.04254147195826144,0.0008105468749999289,0.0008105468749999289,True,0.003997936807467184,0.0002541025957664145,-3.5982369750442444e-08,0.03981275179901844,-0.07854092668516688,-0.00014349252761108877,0.0050000000000000044,0.009999999999999953,0.005376366546118727,1.554422110552764,0.1899999999999995,0.0600000000000005,-0.002385665177691232,1.8393689757991822
fractal_dp1.5_N0200_Df2.2_kf1.1_rep05,fractal_dp2_N0200_Df2.2_kf1.1_rep02,200,0.10957758765458867,0.003564453125000089,0.003564453125000089,True,0.002558998417370173,0.0015264862053449013,-1.0638180787392315e-06,-0.03447938734940814,0.18829159545255664,-0.07937164325013829,-0.0050000000000000044,-0.025000000000000022,0.03700529552519116,3.55753768844221,0.07000000000000028,-0.21999999999999886,-0.010169601067883283,1.0118091138894583
fractal_dp1.5_N0200_Df2.6_kf0.8_rep01,fractal_dp1_N0200_Df2.6_kf0.8_rep03,200,0.0947500379441206,0.00020996093749997558,0.00020996093749997558,False,-0.0018005248005970031,0.0014717788051386016,-8.695294284599697e-08,0.005351063471591644,0.003499502240618013,-0.012801796449170982,0.024999999999999967,0.004999999999999949,0.05858073236976069,-1.477788944723617,0.17999999999999972,0.1999999999999993,-0.052165014424026046,0.44180107526881685
fractal_dp1.5_N0200_Df2.6_kf0.8_rep02,fractal_dp1_N0200_Df2.6_kf0.8_rep01,200,0.08569821530165335,-0.00164794921875,0.00164794921875,True,-0.005853267381707106,-3.404691515485059e-05,-3.0245536490891567e-06,0.0310894898155466,-0.10294129853489076,-0.014252032257205505,0.0,-0.019999999999999962,0.025585757624681515,-1.4804522613065352,-0.17999999999999972,0.23000000000000043,0.026810363728756004,1.2249106230847815
fractal_dp1.5_N0200_Df2.6_kf0.8_rep03,fractal_dp1_N0200_Df2.6_kf0.8_rep05,200,0.2801739043311979,-0.0007666015625000244,0.0007666015625000244,False,0.004848521455455668,-0.002352676686091626,1.2915965086346404e-06,0.023401407715151756,0.043824782909175575,-0.10075774616194755,0.04500000000000004,-0.0050000000000000044,0.10274606891080795,-2.4530653266331655,0.3799999999999999,0.27999999999999936,-0.026571524324893736,0.22801384182827356
fractal_dp1.5_N0200_Df2.6_kf0.8_rep04,fractal_dp1_N0200_Df2.6_kf0.8_rep02,200,0.09370607788625346,-0.001125488281250031,0.001125488281250031,False,0.005283554068157059,0.0007732434756984041,-9.537237699586143e-07,0.0014712421051887858,-0.03992651138927572,0.020358232175360258,0.014999999999999958,0.0050000000000000044,0.014745295184887874,-1.5451256281407062,0.009999999999999787,0.25,0.012879499368904423,0.16558435844640407
fractal_dp1.5_N0500_Df1.8_kf1.3_rep02,fractal_dp2_N0500_Df1.8_kf1.3_rep05,500,0.1109608218644214,-0.01624218749999995,0.01624218749999995,True,0.0035524610294623837,0.0014089967481314414,4.565443809667613e-07,0.11240549750569107,-0.13709463837041452,0.019451280778311902,0.02200000000000002,0.020000000000000018,0.026961872268679854,-5.467527054108217,0.19600000000000017,0.4159999999999995,-0.004031042026572784,-0.04197517134970674
fractal_dp1.5_N0500_Df1.8_kf1.3_rep03,fractal_dp1_N0500_Df1.8_kf1.3_rep02,500,0.29584006503061716,0.002762695312499952,0.002762695312499952,True,0.0032710095848851317,0.0025937005695029214,1.5030735323051658e-07,-0.03267630919418929,-0.07221216089097637,0.08101964661877394,-0.026000000000000023,-0.006000000000000005,-0.05724171828953151,6.617338677354709,-0.12400000000000011,-0.2680000000000007,-0.013262978109909562,0.013033703662140184
fractal_dp1.5_N0500_Df1.8_kf1.3_rep04,fractal_dp2_N0500_Df1.8_kf1.3_rep04,500,0.022734666229293085,0.0030664062500000977,0.0030664062500000977,True,0.00045696012239782036,0.0007451951899609677,1.6255757220307032e-06,0.13096830639255164,-0.1879223761531707,0.03890201866222258,-0.016000000000000014,-0.0020000000000000018,-0.03814879626437773,-0.46123446893787445,-0.08400000000000007,-0.1280000000000001,0.014051928029743255,-0.2987757748250779
