n,Dbox_low,Dbox_high,porosity_low,porosity_high,cases,quality_ok
150,1.5,1.7,0.85,0.9,0,0
150,1.5,1.7,0.9,0.95,0,0
150,1.5,1.7,0.95,1.000001,0,0
150,1.7,1.9,0.65,0.7,0,0
150,1.7,1.9,0.7,0.75,0,0
150,1.7,1.9,0.75,0.8,0,0
150,1.7,1.9,0.8,0.85,0,0
150,1.7,1.9,0.85,0.9,0,0
150,1.7,1.9,0.9,0.95,2,2
150,1.7,1.9,0.95,1.000001,0,0
150,1.9,2.1,0.65,0.7,0,0
150,1.9,2.1,0.7,0.75,0,0
150,1.9,2.1,0.75,0.8,0,0
150,1.9,2.1,0.8,0.85,8,6
150,1.9,2.1,0.85,0.9,5,5
150,1.9,2.1,0.9,0.95,8,8
150,1.9,2.1,0.95,1.000001,0,0
150,2.1,2.3,0.65,0.7,0,0
150,2.1,2.3,0.7,0.75,0,0
150,2.1,2.3,0.75,0.8,0,0
150,2.1,2.3,0.8,0.85,7,5
150,2.1,2.3,0.85,0.9,0,0
150,2.1,2.3,0.9,0.95,0,0
150,2.1,2.3,0.95,1.000001,0,0
150,2.3,2.5,0.65,0.7,0,0
150,2.3,2.5,0.7,0.75,0,0
150,2.3,2.5,0.75,0.8,0,0
150,2.3,2.5,0.8,0.85,0,0
150,2.3,2.5,0.85,0.9,0,0
150,2.3,2.5,0.9,0.95,0,0
150,2.3,2.5,0.95,1.000001,0,0
150,2.5,2.7,0.65,0.7,0,0
150,2.5,2.7,0.7,0.75,0,0
150,2.5,2.7,0.75,0.8,0,0
150,2.5,2.7,0.8,0.85,0,0
150,2.5,2.7,0.85,0.9,0,0
150,2.5,2.7,0.9,0.95,0,0
150,2.5,2.7,0.95,1.000001,0,0
150,2.7,2.9,0.65,0.7,0,0
150,2.7,2.9,0.7,0.75,0,0
150,2.7,2.9,0.75,0.8,0,0
150,2.7,2.9,0.8,0.85,0,0
150,2.7,2.9,0.85,0.9,0,0
150,2.7,2.9,0.9,0.95,0,0
150,2.7,2.9,0.95,1.000001,0,0
150,2.9,3.1,0.65,0.7,0,0
150,2.9,3.1,0.7,0.75,0,0
150,2.9,3.1,0.75,0.8,0,0
150,2.9,3.1,0.8,0.85,0,0
150,2.9,3.1,0.85,0.9,0,0
150,2.9,3.1,0.9,0.95,0,0
150,2.9,3.1,0.95,1.000001,0,0
200,1.5,1.7,0.65,0.7,0,0
200,1.5,1.7,0.7,0.75,0,0
200,1.5,1.7,0.75,0.8,0,0
200,1.5,1.7,0.8,0.85,0,0
200,1.5,1.7,0.85,0.9,0,0
200,1.5,1.7,0.9,0.95,0,0
200,1.5,1.7,0.95,1.000001,0,0
200,1.7,1.9,0.65,0.7,0,0
200,1.7,1.9,0.7,0.75,0,0
200,1.7,1.9,0.75,0.8,0,0
200,1.7,1.9,0.8,0.85,0,0
200,1.7,1.9,0.85,0.9,0,0
200,1.7,1.9,0.9,0.95,11,11
200,1.7,1.9,0.95,1.000001,4,4
200,1.9,2.1,0.65,0.7,0,0
200,1.9,2.1,0.7,0.75,0,0
200,1.9,2.1,0.75,0.8,0,0
200,1.9,2.1,0.8,0.85,0,0
200,1.9,2.1,0.85,0.9,15,15
